produto,promocao,preco,preco_antigo,descricao
 Kit Capa e Película de Vidro Temperado 5D Full Cover Xiaomi Mi 9T Pro PHONOCARE SlimShield Preto,-60%,"€11,99","€30,00",telemoveis e pacotes tv
 Kit Capa e Película de Vidro Temperado 5D Full Cover Xiaomi Mi Note 8T PHONOCARE SlimShield Preto,-60%,"€11,99","€30,00",telemoveis e pacotes tv
 UGREEN (Preto),-40%,"€29,99","€49,99",tv video e som
10 Bandas Adesivas Elásticas ANSELF Amarela,-50%,"€16,35","€32,70",produtos
10 Bandas Adesivas Elásticas ANSELF Azul,-50%,"€16,35","€32,70",produtos
10 Bandas Adesivas Elásticas ANSELF Bege,-50%,"€16,35","€32,70",produtos
10 Bandas Adesivas Elásticas ANSELF Laranja,-50%,"€16,35","€32,70",produtos
10 Bandas Adesivas Elásticas ANSELF Preto,-50%,"€16,35","€32,70",produtos
10 Bandas Adesivas Elásticas ANSELF Verde,-50%,"€16,35","€32,70",produtos
10 Canetas de Gel Preto ANSELF Xiaomi 0.5mm,-50%,"€15,37","€30,74",escritorio e papelaria
10 Conectores de Bicicleta ANSELF 9S,-50%,"€10,56","€21,12",produtos
10 Marcadores Pintura ANSELF Multicor,-50%,"€11,11","€22,22",escritorio e papelaria
10 Marcadores Pintura Metal ANSELF Multicor,-50%,"€10,87","€21,74",escritorio e papelaria
10 Películas Protetoras para Bicicleta ANSELF Brancas,-50%,"€16,45","€32,90",produtos
10 Películas Protetoras para Bicicleta ANSELF Pretas,-50%,"€15,00","€30,00",produtos
10 Pincéis ANSELF Aquarelas Médios,-50%,"€14,91","€29,82",escritorio e papelaria
10 Pincéis ANSELF Artista Nylon Brancos,-50%,"€14,68","€29,36",escritorio e papelaria
10 Viseiras ANSELF Transparentes,-50%,"€22,09","€44,18",produtos
100 Canetas de Gel ANSELF Azul,-50%,"€13,16","€26,32",escritorio e papelaria
100 Canetas de Gel ANSELF Preto,-50%,"€13,16","€26,32",escritorio e papelaria
100 Fraldas para Cães Absorventes ANSELF (45x33cm),-50%,"€65,11","€130,22",produtos
100 Luvas Transparentes ANSELF Eco,-50%,"€11,07","€22,14",moveis decoracao e cozinha
100 Luvas Transparentes ANSELF Eco MD527,-50%,"€10,43","€20,86",moveis decoracao e cozinha
100 Luvas Transparentes ANSELF PVC L,-50%,"€42,31","€84,62",moveis decoracao e cozinha
100 Luvas Transparentes ANSELF PVC M,-50%,"€42,31","€84,62",moveis decoracao e cozinha
100 Luvas Transparentes ANSELF PVC S,-50%,"€42,31","€84,62",moveis decoracao e cozinha
100 Luvas Transparentes ANSELF XL,-50%,"€38,75","€77,50",moveis decoracao e cozinha
100 Recargas de Esferográficas ANSELF Azul 0.5mm,-50%,"€10,74","€21,48",escritorio e papelaria
100 Recargas de Esferográficas ANSELF Vermelho 0.5mm,-50%,"€10,74","€21,48",escritorio e papelaria
12 Canetas Feltro ANSELF Art Marker,-50%,"€12,17","€24,34",escritorio e papelaria
12 Canetas Feltro ANSELF Art Marker Caixa,-50%,"€14,97","€29,94",escritorio e papelaria
12 Canetas Feltro ANSELF Art Marker Estojo,-50%,"€10,59","€21,18",escritorio e papelaria
12 Marcadores ANSELF Gel,-50%,"€11,93","€23,86",escritorio e papelaria
12 Pincéis ANSELF Aquarelas Nylon,-50%,"€10,74","€21,48",escritorio e papelaria
12 Pincéis ANSELF Brancos nylon,-50%,"€10,40","€20,80",escritorio e papelaria
12 Pincéis ANSELF Nylon Brancos,-50%,"€10,40","€20,80",escritorio e papelaria
12 Pincéis ANSELF Nylon Brancos Finos,-50%,"€10,40","€20,80",escritorio e papelaria
12 Pincéis ANSELF Nylon Finos Brancos,-50%,"€10,40","€20,80",escritorio e papelaria
12 Pincéis ANSELF Nylon Roxos Brilhante,-50%,"€10,05","€20,10",escritorio e papelaria
12 Pincéis ANSELF Pretos,-50%,"€12,69","€25,38",escritorio e papelaria
12 Tintas para corpo ANSELF Multicor Brilhantes,-50%,"€11,80","€23,60",escritorio e papelaria
15 Pincéis ANSELF Artista Nylon,-50%,"€22,87","€45,74",escritorio e papelaria
2 Bandas de Restrição ANSELF Azul,-50%,"€14,23","€28,46",produtos
2 Blocos de Estabilidade para Yoga ANSELF Eva Antiderrapante Meditação Azul,-50%,"€27,18","€54,36",beleza saude e bebe
2 Blocos de Estabilidade para Yoga ANSELF Eva Antiderrapante Meditação Cinzento,-50%,"€27,21","€54,42",beleza saude e bebe
2 Blocos de Estabilidade para Yoga ANSELF Eva Antiderrapante Meditação Laranja,-50%,"€27,18","€54,36",beleza saude e bebe
2 Blocos de Estabilidade para Yoga ANSELF Eva Antiderrapante Meditação Roxo,-50%,"€27,18","€54,36",beleza saude e bebe
2 Blocos de Estabilidade para Yoga ANSELF Eva Antiderrapante Meditação Verde,-50%,"€27,21","€54,42",beleza saude e bebe
